is_weekend,lag_7,rolling_mean_7,ewm_7,sin_day_of_week,cos_day_of_week,diff_1,actual
1,89.0,253.71428571428572,239.23703592636986,-0.7818314824680299,0.6234898018587334,301.0,389
0,281.0,312.0,351.6777769447774,0.0,1.0,300.0,689
0,416.0,378.14285714285717,483.50833270858305,0.7818314824680298,0.6234898018587336,190.0,879
0,378.0,408.2857142857143,509.8812495314373,0.9749279121818236,-0.22252093395631434,-290.0,589
0,135.0,549.4285714285714,663.1609371485779,0.43388373911755823,-0.900968867902419,534.0,1123
0,89.0,546.4285714285714,514.3707028614334,-0.433883739117558,-0.9009688679024191,-1055.0,68
1,88.0,630.7142857142857,555.278027146075,-0.9749279121818236,-0.2225209339563146,610.0,678
1,389.0,624.4285714285714,502.70852035955625,-0.7818314824680299,0.6234898018587334,-333.0,345
0,689.0,719.7142857142857,716.0313902696672,0.0,1.0,1011.0,1356
0,879.0,621.1428571428571,584.2735427022504,0.7818314824680298,0.6234898018587336,-1167.0,189
0,589.0,729.1428571428571,774.4551570266879,0.9749279121818236,-0.22252093395631434,1156.0,1345
0,1123.0,619.5714285714286,669.841367770016,0.43388373911755823,-0.900968867902419,-989.0,356
0,68.0,722.0,698.631025827512,-0.433883739117558,-0.9009688679024191,429.0,785
1,678.0,670.5714285714286,603.473269370634,-0.9749279121818236,-0.2225209339563146,-467.0,318
1,345.0,637.5714285714286,481.10495202797546,-0.7818314824680299,0.6234898018587334,-204.0,114
0,1356.0,513.7142857142857,483.0787140209816,0.0,1.0,375.0,489
0,189.0,552.1428571428571,476.8090355157362,0.7818314824680298,0.6234898018587336,-31.0,458
0,1345.0,442.85714285714283,502.6067766368021,0.9749279121818236,-0.22252093395631434,122.0,580
0,356.0,457.57142857142856,491.7050824776016,0.43388373911755823,-0.900968867902419,-121.0,459
0,785.0,358.14285714285717,391.0288118582012,-0.433883739117558,-0.9009688679024191,-370.0,89
1,318.0,326.7142857142857,317.7716088936509,-0.9749279121818236,-0.2225209339563146,9.0,98
1,114.0,388.42857142857144,374.8287066702382,-0.7818314824680299,0.6234898018587334,448.0,546
0,489.0,386.85714285714283,400.62153000267864,0.0,1.0,-68.0,478
0,458.0,373.57142857142856,391.716147502009,0.7818314824680298,0.6234898018587336,-113.0,365
0,580.0,317.57142857142856,340.7871106265068,0.9749279121818236,-0.22252093395631434,-177.0,188
0,459.0,278.57142857142856,302.0903329698801,0.43388373911755823,-0.900968867902419,-2.0,186
0,89.0,291.57142857142856,271.56774972741005,-0.433883739117558,-0.9009688679024191,-6.0,180
1,98.0,358.7142857142857,345.67581229555753,-0.9749279121818236,-0.2225209339563146,388.0,568
1,546.0,360.7142857142857,399.25685922166815,-0.7818314824680299,0.6234898018587334,-8.0,560
0,478.0,371.0,436.94264441625114,0.0,1.0,-10.0,550
0,365.0,498.57142857142856,642.2069833121884,0.7818314824680298,0.6234898018587336,708.0,1258
0,188.0,526.0,576.6552374841413,0.9749279121818236,-0.22252093395631434,-878.0,380
0,186.0,672.5714285714286,735.4914281131059,0.43388373911755823,-0.900968867902419,832.0,1212
0,180.0,656.5714285714286,568.6185710848295,-0.433883739117558,-0.9009688679024191,-1144.0,68
1,568.0,652.5714285714286,561.4639283136221,-0.9749279121818236,-0.2225209339563146,472.0,540
1,560.0,608.2857142857143,483.59794623521657,-0.7818314824680299,0.6234898018587334,-290.0,250
0,550.0,654.0,580.1984596764124,0.0,1.0,620.0,870
0,1258.0,634.2857142857143,715.1488447573093,0.7818314824680298,0.6234898018587336,250.0,1120
0,380.0,615.7142857142857,598.861633567982,0.9749279121818236,-0.22252093395631434,-870.0,250
0,1212.0,516.5714285714286,578.6462251759865,0.43388373911755823,-0.900968867902419,268.0,518
0,68.0,516.5714285714286,450.9846688819899,-0.433883739117558,-0.9009688679024191,-450.0,68
1,540.0,461.7142857142857,377.2385016614924,-0.9749279121818236,-0.2225209339563146,88.0,156
